Index,Car,Price
1,"DOORVISOR PROTON WIRA SEDAN OR AEROBACK
",4550.0
2,"PROTON EXORA D7 JAPAN ADJUSTABLE COILOVER HIGH LOW BODY SHIFT
",1000.0
3,"NEW Front Grill Grille Mask For Proton Wira Satria Persona Jumbuck M21 Putra OEM
",230.0
4,"PROTON PERSONA / GEN2 - IGNITION / DOOR KEY SET
",1280.0
5,"PROTON PERDANA 4 CYLINDER - WATER PUMP ASSEMBLY- GMB
",1080.0
6,"PROTON PERSONA IGNITION/DOOR/BOOT KEY SET
",1300.0
7,"Proton Iswara Saga Front Bonnet Damper SARD RACING
",899.0
8,"Proton Cvt Tcu
",6000.0
9,"[Proton Waja MMC 1.6] Driveshaft set (long & short, re-conditioned)
",2980.0
10,"PROTON WAJA IMPIAN 4G18 MANUAL ECU MR514093
",2000.0
11,"
PROTON WIRA 1.6i HATCHBACK 2000-2004 NEW TIMING CAM BELT
",5035.0
12,"PROTON PERSONA 2.0 WIRA 2.0 DT DIESEL 1996 >ON NEW TIMING CAM BELT
",3350.0
13,"Smart Automatic Battery Charger for Proton. Inteligent 5 Stage
",2941.0
14,"VECO REAR BRAKE PADS VA780 FOR MITSUBITSHI PROTON SMART VOLVO
",3608.0
15,"Car Battery & Alternator Tester for Proton. 12v DC Voltage Check
",987.0
16,"Dopson Fuel Pump Assembly fits for Proton GEN2 PW823172
",6408.0
17,"Proton Gen-2/Waja/Satria Neo/Persona 1.6L 1598cc 2004-2009 S4PH Metal Full Set A
",3183.0
18,"AVS Racing Cam Gear Timing Belt 4G93 4G93T GSR Proton GTI Dohc
",7394.0
19,"D Exhaust extractor header 4G92 4G93 Mivec Mirage Cyborg Proton Satria GTI
",1697.0
20,"BRAKE HOSE FOR MITSUBISHI PROTON NK 853011
",1244.0
21,"VR Fuel Rail Kit Mitsubishi / Proton 4G18 SOHC - BLUE
",4250.0
22,"Control Valve, fuel pressure for ABARTH ALFA ROMEO CITROï¿½N BOSCH 0 280 160 562
",1822.0
23,"AROSPEED ADJUSTABLE ALUMINUM ENGINE TORQUE DAMPER PROTON SATRIA NEO
",4131.0
24,"SAGA ISWARA D7 JAPAN Adjustable Coilover High Low + body shift
",8000.0
25,"PERDANA D7 JAPAN Adjustable Coilover High Low +  Body Shift
",9000.0
26,"ISWARA MMC D7 JAPAN Adjustable Coilover High Low + Body shift
",8000.0
27,"Side Mirror Autoflip 5 Wire Evo123
",4500.0
